MS,SMS,RMS,CMS,COS,SC
lang_14_fixed,1,1,1,0.5,1,1
lang_4_fixed,0.07692307692307693,0,0.07142857142857142,0,0.07692307692307693,0.06666666666666667
lang_23_fixed,1,1,1,1,1,1
lang_29_fixed,1,1,1,0.5,1,1
lang_47_fixed,1,1,1,1,1,1
lang_12_fixed,1,1,0.5,1,1,1
lang_17_fixed,0.047619047619047616,0,0.047619047619047616,0.041666666666666664,0.047619047619047616,0.047619047619047616
lang_31_fixed,1,1,1,1,1,1
lang_55_fixed,1,1,0.5,1,1,0.5
lang_13_fixed,1,1,1,1,0.058823529411764705,1
lang_5_fixed,1,1,1,1,1,1
lang_52_fixed,1,1,1,1,1,1
lang_35_fixed,1,1,1,1,1,1
lang_54_fixed,1,1,1,1,1,1
lang_20_fixed,1,1,0.5,0.5,1,1
lang_7_fixed,1,1,1,1,1,1
lang_40_fixed,0.5,0,0.5,0,0.5,0.5
jacksonxml_6_fixed,1,1,1,1,1,1
jacksonxml_1_fixed,1,1,1,0.6666666666666666,1,1
jacksonxml_4_fixed,1,1,1,0.013157894736842105,1,1
jacksonxml_3_fixed,1,1,1,0.06666666666666667,0.2,1
jacksonxml_2_fixed,1,1,1,0.037037037037037035,1,0.5
jacksonxml_5_fixed,0.014084507042253521,0,0.014084507042253521,0.013157894736842105,0.014084507042253521,0.3333333333333333
closure_132_fixed,1,1,0.25,0.25,0.25,0.25
closure_45_fixed,1,1,1,1,1,0.25
closure_116_fixed,1,1,0.18181818181818182,0.2857142857142857,0.2,0.7272727272727273
closure_161_fixed,1,1,0.5,1,0.5,1
closure_88_fixed,1,1,1,0.875,1,1
closure_170_fixed,1,1,0.25,0.25,1,0.5
closure_106_fixed,1,1,0.3,1,1,1
closure_76_fixed,1,1,1,1,1,1
closure_121_fixed,1,1,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.041666666666666664
closure_1_fixed,1,1,0.23076923076923078,1,0.42857142857142855,0.21052631578947367
closure_91_fixed,1,1,0.027777777777777776,1,1,1
closure_74_fixed,1,1,1,0.5,1,1
closure_126_fixed,1,1,1,1,1,0.3333333333333333
closure_107_fixed,1,1,0.012658227848101266,1,0.012987012987012988,0.058823529411764705
closure_147_fixed,1,1,1,1,1,0.5
closure_127_fixed,1,1,0.3333333333333333,0.3333333333333333,1,1
closure_97_fixed,1,1,1,0.5,1,1
closure_28_fixed,1,1,0.14285714285714285,0,1,0.08
closure_50_fixed,1,1,1,1,1,1
closure_151_fixed,1,1,0.125,1,0.02631578947368421,1
closure_3_fixed,1,1,0.08823529411764706,0.07317073170731707,1,1
closure_113_fixed,1,1,1,0.25,0.25,0
closure_30_fixed,1,1,1,0.6666666666666666,1,0.3333333333333333
closure_89_fixed,0.5,0.5,0.5,0.17391304347826086,0.24242424242424243,0.14545454545454545
closure_130_fixed,1,1,1,0.5,0.01639344262295082,0.029411764705882353
closure_83_fixed,1,1,1,1,1,1
closure_99_fixed,1,1,0.25,1,1,0.14285714285714285
closure_175_fixed,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.15625,0.3333333333333333,0.15625
closure_100_fixed,1,1,0.8,0.8,1,0.6666666666666666
closure_105_fixed,1,1,1,0.5,1,0.14285714285714285
closure_124_fixed,0.5,0,0.5,0.5,0.5,0.5
closure_101_fixed,1,1,0.3333333333333333,0.0625,1,0.3333333333333333
closure_20_fixed,1,1,1,1,1,1
closure_23_fixed,1,1,1,1,1,1
closure_92_fixed,0.2,0,0.2,0.2,0.2,0.2
closure_46_fixed,1,1,0.5,0.42857142857142855,0.2,0.5
closure_115_fixed,0.5,0.5,0.5,0.5,0.5,0.007215007215007215
closure_15_fixed,1,1,1,0.09090909090909091,1,1
closure_78_fixed,1,1,1,0.14285714285714285,1,1
closure_36_fixed,1,1,1,0.5,1,1
closure_87_fixed,1,1,0.3333333333333333,0.5,1,1
closure_156_fixed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08,0.16666666666666666,0.16666666666666666
closure_85_fixed,0.4,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333
closure_111_fixed,1,1,0.2,0.2,0.01639344262295082,0.5
codec_8_fixed,0.5,0,0.5,0.013333333333333334,0.5,0.5
codec_10_fixed,1,1,0.09090909090909091,1,0.125,0.1
codec_18_fixed,1,1,1,1,1,1
codec_6_fixed,0.25,0,0.25,0.16666666666666666,0.25,0.25
codec_9_fixed,1,1,1,0.037037037037037035,1,0.05263157894736842
codec_17_fixed,0.25,0.25,0,0.25,0.25,0.5
codec_4_fixed,0.6666666666666666,0,0.15384615384615385,0.125,0.25,0.6666666666666666
codec_12_fixed,1,1,1,1,1,1
codec_2_fixed,1,1,1,0.3333333333333333,1,0.3333333333333333
codec_7_fixed,1,1,1,0.3333333333333333,1,1
codec_3_fixed,1,1,1,1,1,0.5
codec_16_fixed,1,1,1,0,1,0.5
codec_5_fixed,1,1,1,1,1,1
codec_15_fixed,1,1,0.25,0.07142857142857142,1,0.058823529411764705
codec_11_fixed,1,1,1,1,1,1
codec_13_fixed,1,1,1,1,1,1
codec_1_fixed,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0.5
math_97_fixed,1,1,0.0625,0,1,1
math_21_fixed,1,1,1,0.5,1,1
math_78_fixed,1,1,1,1,1,1
math_26_fixed,1,1,0.1111111111111111,0.1111111111111111,1,1
math_49_fixed,1,1,1,0.5,0,1
math_43_fixed,1,1,1,1,0.6,1
math_99_fixed_cp,1,1,1,1,1,1
math_69_fixed,1,1,1,0.6666666666666666,1,1
math_101_fixed,1,1,1,1,0.1,1
math_56_fixed,1,1,1,1,1,1
math_105_fixed,1,1,0.1111111111111111,1,1,0.1111111111111111
math_62_fixed,1,1,1,0.5,1,0.5
math_77_fixed,1,1,1,1,1,1
math_47_fixed,1,1,0.6666666666666666,0.5,0.5,1
math_55_fixed,1,1,1,1,1,0.5
math_7_fixed,0.25,0.25,0.07692307692307693,0.25,0.07142857142857142,0.1
math_66_fixed,1,1,1,1,1,0.6666666666666666
math_20_fixed,1,1,1,1,1,1
math_19_fixed,1,1,1,1,1,1
math_18_fixed,1,1,1,0.3333333333333333,1,0.5
math_24_fixed,1,1,0.3333333333333333,0.3333333333333333,1,0.16666666666666666
math_4_fixed,1,1,0,1,1,1
math_2_fixed,0.25,0,0.14285714285714285,0,0.25,0.16666666666666666
math_30_fixed,0.5,0,0.5,0.5,0.5,0.5
math_102_fixed,1,1,1,0.6,1,1
math_103_fixed,1,1,1,0.14285714285714285,1,1
math_37_fixed,1,1,1,1,1,1
math_50_fixed,0.125,0,0.125,0,0.125,0.14285714285714285
math_8_fixed,1,1,1,0.045454545454545456,1,1
math_14_fixed,0.013513513513513514,0,0.013333333333333334,0.011494252873563218,0.013513513513513514,0.01639344262295082
math_28_fixed,1,1,1,0.3333333333333333,1,0.25
math_73_fixed,1,1,0.5,1,1,1
math_34_fixed,0.5,0,0.05,0.05,0.5,0.5
math_27_fixed,0.5,0.5,0.5,0.07692307692307693,0.5,0.5
math_100_fixed,0.5,0,0.5,0.5,0.5,0.5
math_40_fixed,1,1,1,0.5,1,0.5
math_98_fixed,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
math_72_fixed,1,1,0.5,0.3333333333333333,1,1
math_35_fixed,1,1,1,1,0.6666666666666666,0.6666666666666666
math_29_fixed,1,1,1,0.6666666666666666,1,1
math_99_fixed,1,1,1,1,1,1
math_9_fixed,1,1,0.038461538461538464,1,0.037037037037037035,1
math_52_fixed,1,1,1,0.5,1,0.5
math_36_fixed,1,1,1,1,1,1
math_42_fixed,1,1,1,0.08333333333333333,1,1
math_106_fixed,1,1,1,0,1,1
math_11_fixed,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
math_32_fixed,1,1,1,0.3333333333333333,1,1
math_60_fixed,1,1,0.16666666666666666,1,1,1
math_12_fixed,0.5,0.5,0.02564102564102564,0.5,0.5,0.0625
math_13_fixed,0.014705882352941176,0,0.014705882352941176,0.012048192771084338,0.014705882352941176,0.041666666666666664
math_64_fixed,0.5,0,0.5,0.2,0.5,0.125
math_48_fixed,1,1,0.06666666666666667,1,1,1
math_45_fixed,1,1,1,1,1,1
math_5_fixed,1,1,1,0.07692307692307693,1,1
math_84_fixed,1,1,0.5,1,1,0.6666666666666666
math_10_fixed,1,1,1,0.25,0.3333333333333333,0.3333333333333333
